Title,Latitude,Longitude,URL
Finsbury Estate,51.52681,-0.10691,https://www.google.com/maps/place/Finsbury+Estate/data=!4m2!3m1!1s0x48761b5ab2a90973:0x803a8259833385a0
Embassy of the Czech Republic,13.737512,100.550863,https://www.google.com/maps/place/Embassy+of+the+Czech+Republic/data=!4m2!3m1!1s0x48760ff94c271fcd:0x84b41ebec1f2dba2
Embassy of Slovakia,39.909983,116.435251,https://www.google.com/maps/place/Embassy+of+Slovakia/data=!4m2!3m1!1s0x48760ff94c271fcd:0xe041975f52e6162e
Crescent House,30.469526,-97.803886,https://www.google.com/maps/place/Crescent+House/data=!4m2!3m1!1s0x48761b56fbd0598d:0xa76a5f698ab21aa8
Chartered Accountants Hall,51.5163995,-0.0883415,https://www.google.com/maps/place/Chartered+Accountants+Hall/data=!4m2!3m1!1s0x48761cab614c837d:0x7dc82de056821e10
Cotton Gardens Estate,32.501223,-92.118327,https://www.google.com/maps/place/Cotton+Gardens+Estate/data=!4m2!3m1!1s0x48760493fcd188d5:0xb275a61cc115aa8a
Camberwell Submarine,51.474678,-0.106727,https://www.google.com/maps/place/Camberwell+Submarine/data=!4m2!3m1!1s0x487604629dffcccb:0x4ac0f3f60c5cd8d3
Camden Town Hall,51.5289855,-0.125503,https://www.google.com/maps/place/Camden+Town+Hall/data=!4m2!3m1!1s0x48761b3a4854d875:0x9d5cf68d654033cb
Acland Burghley School,51.557455,-0.139789,https://www.google.com/maps/place/Acland+Burghley+School/data=!4m2!3m1!1s0x48761baa830186f7:0x48bb44ae89bb41f2
123 Victoria St,51.496909,-0.137609,https://www.google.com/maps/place/123+Victoria+St/data=!4m2!3m1!1s0x487604de925884d5:0xf010f86f8f517b67
45 Park Lane,51.50639,-0.15162,https://www.google.com/maps/place/45+Park+Lane/data=!4m2!3m1!1s0x4876052fd30ef46d:0xc7222b8995002d19
30 Cannon St,51.512356,-0.09493,https://www.google.com/maps/place/30+Cannon+St/data=!4m2!3m1!1s0x487604aa62773c8f:0xf06489f70051d72b
Churchill Gardens,52.063807,-2.702379,https://www.google.com/maps/place/Churchill+Gardens/data=!4m2!3m1!1s0x487604e2767635a9:0xb93febfca94815ae
Stockwell Bus Garage,51.473239,-0.123654,https://www.google.com/maps/place/Stockwell+Bus+Garage/data=!4m2!3m1!1s0x487604f614bf1597:0x57e191c738659033
Congress House,12.9470966,78.8682551,https://www.google.com/maps/place/Congress+House/data=!4m2!3m1!1s0x48761b3288a86c13:0x842c9e6ab5e3f175
Minories Car Park,52.637957,4.806593,https://www.google.com/maps/place/Minories+Car+Park/data=!4m2!3m1!1s0x4876034bd0d39445:0x398064c92140ae17
Alexandra & Ainsworth Estate,51.538778,-0.184563,https://www.google.com/maps/place/Alexandra+%26+Ainsworth+Estate/data=!4m2!3m1!1s0x48761a9eb2d81049:0xc11d601645b0eb28
BT Baynard House,-6.228894,106.608857,https://www.google.com/maps/place/BT+Baynard+House/data=!4m2!3m1!1s0x487604ac5c085c5d:0xddb43d97230aa4b3
Caa House - Civil Aviation Authority,14.514432,121.004994,https://www.google.com/maps/place/Caa+House+-+Civil+Aviation+Authority/data=!4m2!3m1!1s0x487604cacda74af1:0x8542089932e40c96
UCL Institute of Education (IOE),51.52289009,-0.1301990332,https://www.google.com/maps/place/UCL+Institute+of+Education+(IOE)/data=!4m2!3m1!1s0x48761b3026950f73:0x7775028d83f78607
Ministry of Justice,13.897762,100.548177,https://www.google.com/maps/place/Ministry+of+Justice/data=!4m2!3m1!1s0x487604dbe92f5af3:0x43d424d396c6fa7
Hayward Gallery,51.506118,-0.1156325,https://www.google.com/maps/place/Hayward+Gallery/data=!4m2!3m1!1s0x487604b7e7c78711:0xea81dbe9938ed7b8
